,Processed Title,Success,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean
Cliffhanger,Cliffhanger,1,48.91276777273042,0.4081227280466464,3.2,0.5203663361483847,-0.25629242907544114,0.27677236661666127
Broken Arrow,Broken-Arrow,1,35.96501567693722,0.3577693586083581,2.4,0.3052014050070867,-0.30160418112262216,0.6424181575491181
Blade: Trinity,Blade-Trinity,1,34.16515225388945,-0.5096080375221548,3.6,-0.2730543474351515,-0.21098067702826012,-0.4465703937062424
Fight Club,Fight-Club,1,55.85180833232536,0.9798771165072092,2.4,-0.3402933884168071,0.514007355726636,-0.07297578123177566
The Long Kiss Goodnight,"Long-Kiss-Goodnight,-The",0,30.430217669654287,0.8288170081923445,2.2,0.560709760737378,1.7827364130477044,-0.45451921524825234
Hudson Hawk,Hudson-Hawk,0,43.73938158341829,0.5900445789204618,3.6,-0.01754599170486021,-0.007077792815945584,-0.4227239290802126
Jurassic Park,Jurassic-Park,1,24.763864210230988,0.060522048698463275,3.2,0.03624524108046428,-0.6640981975000702,0.1495912219445024
The American President,"American-President,-The",1,53.615737462672776,1.3096104712159995,3.8,0.6951878427006892,-0.39222768521698415,0.07010300652440309
Wild Hogs,Wild-Hogs,1,39.89608012061167,2.038922176951206,1.4,1.569295375462212,0.287448595490731,2.6852652938456703
Marley & Me,Marley-&-Me,1,56.223607164722694,1.2121523368193128,2.0,0.9238005820383183,-0.46019531328775565,3.384761589542544
The Green Mile,"Green-Mile,-The",1,52.25374773348315,0.05402483973868416,1.4,0.453127295166729,-0.21098067702826012,0.14164240040249246
The Truman Show,"Truman-Show,-The",1,41.9249305237978,-0.5485912912808295,3.4,-0.5151148949691117,-0.5281629413585271,-0.4386215721642325
The Bourne Identity,"Bourne-Identity,-The",1,34.22061610330087,-1.424090198611066,1.4,-1.3085355785526478,-0.32426005714621264,-0.6214444676304609
The Italian Job,"Italian-Job,-The",1,39.33711117452809,-0.4787462949632039,2.2,-0.21926311464982703,-0.4148835612405747,-0.7804208984706595
Antz,Antz,1,33.181939620625165,-1.633625187563943,2.4,-1.4968048933012836,-0.6187864454528892,-0.9791414370209078
The Family Man,"Family-Man,-The",1,58.8533549036242,0.5380669072422288,2.8,-0.08478503268651581,-0.5508188173821177,0.47549290516690956
